full_name,channel
Travis Caldwell,cnn
Marlon Sorto,cnn
Michael Bociurkiw,cnn
Atwood Kaitlan Collins,cnn
Alicia Wallace,cnn
Martha White,cnn
Jack Guy Sana Noor Haq,cnn
Hannah Mackenzie,cnn
Ural Garrett,cnn
Nick Ellis,cnn
Joel Waldman,cnn
Joe Gorchow,cnn
Henry Hullah,cnn
Mike Holden,cnn
Richard Essex,cnn
Giovanni Prati,cnn
Stella Chan Zoe Sottile,cnn
Chris Murphy,cnn
Erin Burnett,cnn
Meg Dunn,cnn
Jen Christensen Tierney Sneed,cnn
Brian Rokus,cnn
Jill Dougherty,cnn
Afshar David Williams,cnn
Adam Wollner,cnn
Evan Perez Katelyn Polantz,cnn
Bill Weir,cnn
Monica Garrett Payton,cnn
Gavin Smith,cnn
Lauren Said-Moorhouse,cnn
Rosa Flores Amir Vera,cnn
Stephen Collinson Cnn,cnn
Elizabeth Wolfe Theresa Waldrop,cnn
Eric Cheung Simone Mccarthy,cnn
Selina Wang,cnn
Paul P Murphy,cnn
Nicole Goodkind Tal Yellin,cnn
Tal Yellin,cnn
Lauren Lau,cnn
Colin Mccullough,cnn
Anny Shaw,cnn
Lauren Kent,cnn
Nadine Schmidt,cnn
Veronica Rocha,cnn
Henrik Pettersson,cnn
Nima Elbagir,cnn
Barbara Arvanitidis,cnn
Tamara Qiblawi,cnn
Gianluca Mezzofiore,cnn
Mohammed Abo Al Gheit,cnn
Marco Chacn,cnn
Natalie Croker,cnn
Victoria Butenko Gul Tuysuz,cnn
Victoria Butenko,cnn
Bill Carter,cnn
Eva Mckend,cnn
Cristina Mendez,cnn
Stephanie Mansour,cnn
Emily Mcnutt,cnn
Julian Kheel,cnn
Will Mcgough,cnn
Danielle Sills,cnn
Lauren Silver,cnn
Ryan Nobles,cnn
Charlie De,cnn
Kara Alaimo,cnn
Lakshman Achuthan,cnn
Mj Lee,cnn
Arlette Saenz,cnn
Frederik Pleitgen,cnn
Jeremy Herb Priscilla Alvarez,cnn
Rebecca Salinas,cnn
Shawn Deng,cnn
Hannah Ritchie,cnn
Jason Hanna Keith Allen,cnn
Andy Rose Ray Sanchez,cnn
Eyad Kourdi,cnn
Obaida Nafaa,cnn
Steve Wilder,cnn
Joe Gorchow Joins News,cnn
Beth Germano,cnn
Beth Germano Is,cnn
Patrick Damp,cnn
Mike Hellgren,cnn
Kostan Nechyporenko,cnn
Afshar Claire Colbert,cnn
Kelly Murray,cnn
Claudia Rebaza,cnn
Paul Callan,cnn
Jeremy Herb Whitney Wild,cnn
Afshar Nouran,cnn
Mariya Knight,cnn
Anna Pantelia,cnn
Jessie Yeung Gawon Bae,cnn
Gawon Bae,cnn
Marysabel Huston-Crespo,cnn
Sarita Harilela,cnn
Steck Andrew Kaczynski,cnn
Em Steck,cnn
Gregory Krieg,cnn
Ramin Mostaghim,cnn
Sara Mazloumsaki,cnn
Mohammed Tawfeeq,cnn
Olga Voitovych,cnn
Manveena Suri,cnn
Kareem Khadder,cnn
Aya Elamroussi Dakin Andone,cnn
Maria Santana,cnn
Max Foster Xiaofei Xu,cnn
Max Foster,cnn
Dom Tibbetts,cnn
Donald Judd Devan Cole,cnn
Sharif Paget Zoe Sottile,cnn
Penny De La Cruz,cnn
Jerry Askin,cnn
Sharon Phillips,cnn
Dave Carlin,cnn
Dave Carlin Serves,cnn
Caroline Coleburn,cnn
Bryant Maddrick,cnn
Patrick Sung Ben Church,cnn
Patrick Sung,cnn
Chris Boyette Todd Leopold,cnn
Todd Leopold,cnn
Eran Hami,cnn
Sanjay Gupta,cnn
Alexander Veryovkin,cnn
Giorgi Zatiashvili,cnn
Martynna Sobecka,cnn
Mikhail Kalarashan,cnn
Josh Campbell Eliott,cnn
Megan Trimble,cnn
Elizabeth Wolfe Dakin Andone,cnn
Kris Fordham,cnn
Ana Srbu,cnn
Nicolas Axelrod,cnn
Karla Cripps,cnn
Jacob Lev George Ramsay,cnn
George Ramsay,cnn
Carina Storrs,cnn
Joe Sutton,cnn
Esther Crain,cnn
Rob Picheta Vasco Cotovio,cnn
Karimi Joshua Berlinger,cnn
Faith Karimi,cnn
Joshua Berlinger,cnn
Victoria Walker,cnn
Emily Parker,cnn
Alexandra Meeks,cnn
Bianca Pineda,cnn
Emmy Abbassi,cnn
